pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2022,"E-learning bibliometric analysis from 2015 to 2020","Journal of Computers in Education, 9(4), 727-754","Bibliometric analysis of e-learning research published between 2015 and 2020, highlighting trends, prolific authors, countries, and research directions.",186,"e-learning-bibliometric-analysis-from-2015-to-2020","","","Journal Article"
2024,"Data protection in digital learning space: An overview","AIP Conference Proceedings, 3109(1), 030007","Overview of data protection challenges and mechanisms in digital learning environments, including privacy regulations and technical safeguards.",18,"data-protection-in-digital-learning-space-an-overview","","","Conference Paper"
2021,"Security issues in digital learning spaces","2021 IEEE International Conference on Computing (ICOCO), 71-77","Study of major cybersecurity threats affecting digital learning platforms and recommendations for improving security.",16,"security-issues-in-digital-learning-spaces","","","Conference Paper"
2024,"West African online learning spaces security status and students’ cybersecurity awareness level during COVID-19 lockdown","Education and Information Technologies, 29(12), 15557-15587","Assessment of cybersecurity practices in West African online learning platforms and students' awareness during the COVID-19 lockdown.",12,"west-african-online-learning-spaces-security-status-and-students-cybersecurity-awareness","","","Journal Article"
2022,"Preventive measures for digital learning spaces’ security issues","2022 IEEE Technology and Engineering Management Conference (TEMSCON Europe)","Proposes preventive measures and best practices to mitigate cybersecurity risks in digital learning platforms.",11,"preventive-measures-for-digital-learning-spaces-security-issues","","","Conference Paper"
2022,"Analyzing Learners’ Privacy in MOOC and Online Learning Platform","2022 IEEE International Conference on Computing (ICOCO), 358-363","Analysis of learners' privacy concerns and privacy-preserving techniques in MOOCs and online learning systems.",6,"analyzing-learners-privacy-in-mooc-and-online-learning-platform","","","Conference Paper"
2024,"Reimagining Authentication: A User-Centric Two-Factor Authentication with Personalized Image Verification","2024 ASU International Conference in Emerging Technologies","Introduces a user-centric two-factor authentication approach using personalized image verification for enhanced usability and security.",5,"reimagining-authentication-user-centric-two-factor-authentication-personalized-image-verification","","","Conference Paper"
2024,"Best practices for ensuring security and privacy in e-learning environments","2024 ASU International Conference in Emerging Technologies","Discusses practical recommendations and best practices for strengthening privacy and security in e-learning ecosystems.",3,"best-practices-for-ensuring-security-and-privacy-in-e-learning-environments","","","Conference Paper"
2021,"Data Confidentiality and Integrity in Cloud Storage Environment","Communication and Intelligent Systems, 987-1003","Examines methods for ensuring confidentiality and integrity of data stored in cloud computing environments.",3,"data-confidentiality-and-integrity-in-cloud-storage-environment","","","Book Chapter"
2023,"Analysis of Critical Factors Influencing E-Learning Platforms Security","2023 International Conference on Information Technology (ICIT), 13-18","Identifies and analyzes the critical factors influencing the security posture of e-learning platforms.",2,"analysis-of-critical-factors-influencing-e-learning-platforms-security","","","Conference Paper"
2023,"E-Learning Challenges and Opportunities in West Africa During COVID-19 Pandemic","2023 IEEE 12th International Conference on Engineering Education (ICEED)","Explores the challenges and opportunities experienced by West African educational institutions during the COVID-19 pandemic.",1,"e-learning-challenges-and-opportunities-in-west-africa-during-covid-19-pandemic","","","Conference Paper"




2009-10-01,Paper Title Number 1,Journal 1,This paper is about the number 1. The number 2 is left for future work.,"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1).",paper-title-number-1,https://academicpages.github.io/files/paper1.pdf,http://academicpages.github.io/files/slides1.pdf,manuscripts
2010-10-01,Paper Title Number 2,Journal 1,This paper is about the number 2. The number 3 is left for future work.,"Your Name, You. (2010). ""Paper Title Number 2."" <i>Journal 1</i>. 1(2).",paper-title-number-2,https://academicpages.github.io/files/paper2.pdf,http://academicpages.github.io/files/slides2.pdf,manuscripts
2015-10-01,Paper Title Number 3,Journal 1,This paper is about the number 3. The number 4 is left for future work.,"Your Name, You. (2015). ""Paper Title Number 3."" <i>Journal 1</i>. 1(3).",paper-title-number-3,https://academicpages.github.io/files/paper3.pdf,http://academicpages.github.io/files/slides3.pdf,manuscripts
